Algorithm,Tamanho do Número,Numero Primo gerado,Tempo para gerar
LCG,39,459978934237,0.06880000000819564
LCG,40,587409377629,0.040099999750964344
LCG,39,387367757761,0.043000000005122274
LCG,40,991782549281,0.046099999963189475
LCG,35,19903037761,0.03470000046945643
LCG,39,452170861057,0.043000000005122274
LCG,40,1001654158237,0.04350000017439015
LCG,40,988245861217,0.04000000080850441
LCG,38,243726042269,0.040299999454873614
LCG,39,444278297761,0.03949999882024713
LCG,36,38396791229,0.03690000085043721
LCG,40,1045052551901,0.04490000173973385
LCG,38,201730782301,0.04059999992023222
LCG,39,518507980093,0.04380000063974876
LCG,40,891509396801,0.04330000047048088
LCG,40,804914609437,0.043000000005122274
LCG,40,773549788321,0.046799999836366624
LCG,39,477515431453,0.040299999454873614
LCG,39,451048708769,0.039200000173877925
LCG,39,347025054557,0.041200000850949436
LCG,40,673212506749,0.044600001274375245
LCG,30,833720221,0.01720000000204891
LCG,40,975002418209,0.03950000063923653
LCG,39,296541263261,0.04470000021683518
LCG,40,858193631677,0.04289999924367294
LCG,40,590264882173,0.04489999992074445
LCG,40,589235759009,0.04059999992023222
LCG,40,858553251133,0.048600000809528865
LCG,38,152880090497,0.04489999992074445
LCG,40,957496127101,0.04760000047099311
LCG,39,308980633277,0.04349999835540075
LCG,39,515587811293,0.04239999907440506
LCG,39,382955252189,0.043399999412940815
LCG,39,432214739617,0.03780000042752363
LCG,39,419838628541,0.0380000001314329
LCG,40,815409269501,0.04760000047099311
LCG,39,322609499357,0.03950000063923653
LCG,40,918937706909,0.04330000047048088
LCG,39,275152729277,0.03769999966607429
LCG,40,741698242429,0.042499999835854396
LCG,40,641911402241,0.04529999932856299
LCG,40,582279702241,0.04309999894758221
LCG,39,483970682941,0.0394000016967766
LCG,39,417040054369,0.0380000001314329
LCG,39,431104959041,0.042300000131945126
LCG,39,507896911901,0.03809999907389283
LCG,39,396082107613,0.04199999966658652
LCG,40,723923751073,0.04430000080901664
LCG,39,470534121089,0.04129999979340937
LCG,40,605923711037,0.04160000025876798
LCG,40,771300813889,0.04179999996267725
LCG,39,286401376637,0.04309999894758221
LCG,39,413913815773,0.04269999953976367
LCG,39,342316670749,0.04369999987829942
LCG,40,831242500769,0.04670000089390669
LCG,35,26416856029,0.03859999924316071
LCG,40,753060156353,0.04479999915929511
LCG,36,55707520129,0.03680000008898787
LCG,39,370419990781,0.03990000004705507
LCG,40,700918097437,0.04229999831295572
LCG,40,1045224907357,0.04090000038559083
LCG,39,308708614909,0.04269999953976367
LCG,38,251180975453,0.04099999932805076
LCG,40,857555426081,0.04400000034365803
LCG,40,694921521949,0.04259999877831433
LCG,40,980507825569,0.04219999937049579
LCG,38,220365040481,0.043000000005122274
LCG,38,208357750241,0.04830000034417026
LCG,38,259680027617,0.04340000123193022
LCG,40,1037297680541,0.03930000093532726
LCG,39,313527168061,0.04309999894758221
LCG,40,982041562753,0.04619999890564941
LCG,35,19823573057,0.03760000072361436
LCG,40,1010825267713,0.0442000000475673
LCG,40,935481134333,0.04199999966658652
LCG,37,93896187389,0.04569999873638153
LCG,40,1041145037981,0.03950000063923653
LCG,40,970400329949,0.04260000059730373
LCG,40,763590917377,0.04330000047048088
LCG,40,824034457373,0.04620000072463881
LCG,36,38885175169,0.040099999750964344
LCG,40,566163684641,0.04389999958220869
LCG,39,400415378333,0.04450000051292591
LCG,40,1003837995101,0.04200000148557592
LCG,38,137830922461,0.041500001316308044
LCG,40,977281928353,0.041700001020217314
LCG,38,211723963457,0.04149999949731864
LCG,39,476000336257,0.04450000051292591
LCG,40,573719280221,0.045700000555370934
LCG,40,580026033953,0.04369999987829942
LCG,39,521390504669,0.04320000152802095
LCG,38,144815804317,0.042800000301213004
LCG,36,37046270717,0.03819999983534217
LCG,38,249059668861,0.045000000682193786
LCG,40,996668996801,0.042499999835854396
LCG,37,89418966653,0.04179999996267725
LCG,30,945012797,0.014700000974698924
LCG,39,354124879261,0.0442000000475673
LCG,40,1081026381341,0.042300000131945126
LCG,39,304979233697,0.04620000072463881
LCG,40,846104789597,0.04350000017439015
LCG,40,550529653181,0.043000000005122274
LCG,40,922498510081,0.04499999886320438
LCG,40,589276582561,0.04470000021683518
LCG,40,551611837729,0.03910000123141799
LCG,40,1044141934877,0.04149999949731864
LCG,40,1056429908129,0.04050000097777229
LCG,56,60514261828509053,0.05600000076810829
LCG,56,57536525708406497,0.05469999996421393
LCG,56,52944447210739489,0.05760000021837186
LCG,56,60633512299227649,0.06359999861160759
LCG,53,8522822994046429,0.06450000000768341
LCG,56,48786156445429597,0.0579999996261904
LCG,56,63451503044400157,0.059899999541812576
LCG,52,4216991557128797,0.055700000302749686
LCG,56,44845419813215521,0.05889999920327682
LCG,56,63124697949312061,0.05400000009103678
LCG,56,66298062136088317,0.0624999993306119
LCG,55,19233397554305117,0.05410000085248612
LCG,55,32663947320037309,0.05830000009154901
LCG,56,46600637445571201,0.05390000114857685
LCG,56,40517931748493821,0.05779999992228113
LCG,56,51372646432269761,0.05649999911838677
LCG,56,61725535215454433,0.054400001317844726
LCG,55,20862945682188413,0.056200000472017564
LCG,51,2063719536443869,0.051700000767596066
LCG,55,35398121630623841,0.060799999118898995
LCG,53,4844935021679933,0.05720000081055332
LCG,52,2324515471170913,0.05330000021785963
LCG,54,14329545025323713,0.05109999983687885
LCG,56,38817015878845537,0.05830000009154901
LCG,55,31569470730579521,0.04990000161342323
LCG,56,61420629407955869,0.06420000136131421
LCG,53,5619000006767233,0.060200000007171184
LCG,56,37622300516857313,0.05869999949936755
LCG,56,60048618213023873,0.06159999975352548
LCG,56,59011563404587777,0.062400000388151966
LCG,55,21860015109949153,0.0579999996261904
LCG,56,52474125854648513,0.0656000011076685
LCG,56,46159014541654141,0.07090000144671649
LCG,56,63107490318286081,0.06209999992279336
LCG,52,4449066794166781,0.05649999911838677
LCG,56,68411615131040509,0.055900000006658956
LCG,54,12711929830618049,0.060799999118898995
LCG,55,22795660934455261,0.05579999924520962
LCG,56,68728806448804417,0.059899999541812576
LCG,56,61018366753773469,0.06299999949987978
LCG,54,14800047610307549,0.0794000006862916
LCG,54,15083769686420417,0.0563000012334669
LCG,56,60058984845269441,0.05880000026081689
LCG,56,54291124408765469,0.05920000148762483
LCG,55,32190667131361633,0.06260000009206124
LCG,55,23277011102357569,0.05539999983739108
LCG,55,33253488382509313,0.056400000175926834
LCG,54,15055774130955421,0.0579999996261904
LCG,56,58768940031232033,0.05330000021785963
LCG,56,43463269770117437,0.05819999933009967
LCG,56,43893754965190813,0.0562999994144775
LCG,55,34993957110028193,0.05689999852620531
LCG,55,24739330558258621,0.0610999995842576
LCG,55,20939423244089633,0.05459999920276459
